alpha,penalty,learning_rate,eta0,class_weight,train_accuracy,val_accuracy,val_f1,gap
0.001,l2,constant,0.01,None,0.7952031602708803,0.7556458897922312,0.6551943913320586,0.0395572704786491
0.001,l2,constant,0.01,balanced,0.8237020316027088,0.7728093947606143,0.7159796725014116,0.05089263684209455
0.001,l2,constant,0.1,None,0.7952595936794582,0.7502258355916892,0.6596923076923077,0.045033758087768994
0.001,l2,constant,0.1,balanced,0.8122460496613996,0.7642276422764228,0.7147540983606557,0.04801840738497676
0.001,l2,invscaling,0.01,None,0.7272573363431152,0.7145438121047877,0.6220095693779905,0.0127135242383275
0.001,l2,invscaling,0.01,balanced,0.7146726862302483,0.6775067750677507,0.6703601108033241,0.03716591116249757
0.001,l2,invscaling,0.1,None,0.7538939051918736,0.7294489611562782,0.6406718656268746,0.024444944035595384
0.001,l2,invscaling,0.1,balanced,0.760158013544018,0.7204155374887082,0.6949236076885165,0.03974247605530978
0.001,elasticnet,optimal,0.01,None,0.7518058690744921,0.7348690153568203,0.6099667774086379,0.01693685371767184
0.001,elasticnet,optimal,0.01,balanced,0.7693002257336343,0.7420957542908763,0.6654950205038078,0.02720447144275806
0.001,elasticnet,constant,0.01,None,0.7549097065462754,0.7339656729900632,0.6075949367088608,0.020944033556212216
0.001,elasticnet,constant,0.01,balanced,0.7757336343115124,0.7434507678410117,0.6678362573099416,0.032282866470500715
0.001,elasticnet,constant,0.1,None,0.7576185101580135,0.7299006323396567,0.6238993710691824,0.027717877818356773
0.001,elasticnet,constant,0.1,balanced,0.769920993227991,0.7375790424570913,0.6689458689458689,0.03234195077089974
0.001,elasticnet,invscaling,0.01,None,0.7088600451467268,0.7023486901535682,0.5924551638837353,0.006511354993158691
0.001,elasticnet,invscaling,0.01,balanced,0.7159142212189616,0.6878952122854561,0.6698518872431916,0.028019008933505507
0.001,elasticnet,invscaling,0.1,None,0.7267494356659142,0.7149954832881662,0.6083178150217257,0.011753952377748011
0.001,elasticnet,invscaling,0.1,balanced,0.7365124153498871,0.7199638663053297,0.6820512820512821,0.01654854904455738
0.01,l1,optimal,0.01,None,0.5827313769751693,0.5808491418247516,0.09727626459143969,0.0018822351504177437
0.01,l1,optimal,0.01,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.01,l1,constant,0.01,None,0.5827313769751693,0.5808491418247516,0.09727626459143969,0.0018822351504177437
0.01,l1,constant,0.01,balanced,0.5827313769751693,0.5808491418247516,0.09727626459143969,0.0018822351504177437
0.01,l1,constant,0.1,None,0.5827313769751693,0.5808491418247516,0.09727626459143969,0.0018822351504177437
0.01,l1,constant,0.1,balanced,0.5827313769751693,0.5808491418247516,0.09727626459143969,0.0018822351504177437
0.01,l1,invscaling,0.01,None,0.5813769751693002,0.5799457994579946,0.0935672514619883,0.0014311757113055767
0.01,l1,invscaling,0.01,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.01,l1,invscaling,0.1,None,0.5827313769751693,0.5808491418247516,0.09727626459143969,0.0018822351504177437
0.01,l1,invscaling,0.1,balanced,0.4386568848758465,0.43902439024390244,0.6101694915254238,-0.0003675053680559648
0.01,l2,optimal,0.01,None,0.6980812641083521,0.6806684733514001,0.47668393782383417,0.017412790756952012
0.01,l2,optimal,0.01,balanced,0.7610609480812641,0.7303523035230353,0.6875981161695447,0.03070864455822886
0.01,l2,constant,0.01,None,0.6794582392776524,0.6598915989159891,0.4130943102104443,0.019566640361663223
0.01,l2,constant,0.01,balanced,0.7496613995485327,0.7299006323396567,0.6578947368421053,0.019760767208875984
