false_positive_rate,true_positive_rate,threshold,specificity,sensitivity,youden_j
0.12510024057738572,0.8292181069958847,0.40878603,0.8748997594226142,0.8292181069958847,0.704117866418499
0.12510024057738572,0.8302469135802469,0.40507126,0.8748997594226142,0.8302469135802469,0.7051466730028613
0.12750601443464316,0.8302469135802469,0.39756185,0.8724939855653568,0.8302469135802469,0.7027408991456038
0.12750601443464316,0.831275720164609,0.39479333,0.8724939855653568,0.831275720164609,0.7037697057299659
0.12910986367281477,0.831275720164609,0.39390215,0.8708901363271853,0.831275720164609,0.7021658564917943
0.12910986367281477,0.8333333333333334,0.3908198,0.8708901363271853,0.8333333333333334,0.7042234696605186
0.13151563753007217,0.8333333333333334,0.3891028,0.8684843624699279,0.8333333333333334,0.7018176958032611
0.13151563753007217,0.8364197530864198,0.3852144,0.8684843624699279,0.8364197530864198,0.7049041155563476
0.1339214113873296,0.8364197530864198,0.38040566,0.8660785886126704,0.8364197530864198,0.7024983416990902
0.1339214113873296,0.8415637860082305,0.37108678,0.8660785886126704,0.8415637860082305,0.7076423746209008
0.1347233360064154,0.8425925925925926,0.36980873,0.8652766639935846,0.8425925925925926,0.7078692565861772
0.1347233360064154,0.8436213991769548,0.36939204,0.8652766639935846,0.8436213991769548,0.7088980631705394
0.136327185244587,0.8436213991769548,0.36855555,0.863672814755413,0.8436213991769548,0.7072942139323678
0.136327185244587,0.8446502057613169,0.36510384,0.863672814755413,0.8446502057613169,0.7083230205167299
0.14033680834001605,0.8446502057613169,0.35482565,0.859663191659984,0.8446502057613169,0.7043133974213008
0.14033680834001605,0.8467078189300411,0.34853736,0.859663191659984,0.8467078189300411,0.706371010590025
0.14194065757818766,0.8467078189300411,0.34548116,0.8580593424218124,0.8467078189300411,0.7047671613518535
0.14194065757818766,0.8477366255144033,0.34328786,0.8580593424218124,0.8477366255144033,0.7057959679362157
0.17000801924619086,0.8755144032921811,0.34082735,0.8299919807538092,0.8755144032921811,0.7055063840459903
0.17080994386527668,0.8755144032921811,0.34054703,0.8291900561347233,0.8755144032921811,0.7047044594269044
0.1740176423416199,0.8775720164609053,0.34022763,0.8259823576583801,0.8775720164609053,0.7035543741192855
0.1748195669607057,0.8775720164609053,0.3399192,0.8251804330392943,0.8775720164609053,0.7027524495001997
0.1748195669607057,0.8786008230452675,0.33879337,0.8251804330392943,0.8786008230452675,0.7037812560845619
0.17802726543704891,0.8786008230452675,0.33624008,0.8219727345629511,0.8786008230452675,0.7005735576082186
0.17802726543704891,0.8796296296296297,0.33255428,0.8219727345629511,0.8796296296296297,0.7016023641925807
0.17882919005613473,0.8796296296296297,0.3291578,0.8211708099438653,0.8796296296296297,0.7008004395734949
0.18364073777064957,0.8816872427983539,0.32807982,0.8163592622293504,0.8816872427983539,0.6980465050277043
0.18524458700882118,0.8816872427983539,0.3265101,0.8147554129911788,0.8816872427983539,0.6964426557895327
0.19566960705693665,0.8899176954732511,0.32485312,0.8043303929430634,0.8899176954732511,0.6942480884163145
0.19887730553327987,0.8899176954732511,0.31993496,0.8011226944667201,0.8899176954732511,0.6910403899399712
0.19887730553327987,0.8909465020576132,0.311297,0.8011226944667201,0.8909465020576132,0.6920691965243333
0.1996792301523657,0.8909465020576132,0.3109941,0.8003207698476343,0.8909465020576132,0.6912672719052475
0.1996792301523657,0.8950617283950617,0.30564627,0.8003207698476343,0.8950617283950617,0.695382498242696
0.2020850040096231,0.8950617283950617,0.3035733,0.7979149959903769,0.8950617283950617,0.6929767243854386
0.2020850040096231,0.8960905349794238,0.30082083,0.7979149959903769,0.8960905349794238,0.6940055309698008
0.20529270248596632,0.8960905349794238,0.29701418,0.7947072975140337,0.8960905349794238,0.6907978324934575
0.20529270248596632,0.897119341563786,0.29583642,0.7947072975140337,0.897119341563786,0.6918266390778197
0.21010425020048115,0.897119341563786,0.29075235,0.7898957497995188,0.897119341563786,0.6870150913633049
0.21010425020048115,0.8981481481481481,0.290719,0.7898957497995188,0.8981481481481481,0.688043897947667
0.214915797914996,0.8981481481481481,0.28163183,0.785084202085004,0.8981481481481481,0.6832323502331521
0.214915797914996,0.8991769547325102,0.27980182,0.785084202085004,0.8991769547325102,0.6842611568175143
0.2157177225340818,0.8991769547325102,0.27965242,0.7842822774659182,0.8991769547325102,0.6834592321984284
0.2157177225340818,0.9002057613168725,0.2733553,0.7842822774659182,0.9002057613168725,0.6844880387827906
0.2165196471531676,0.9002057613168725,0.2701683,0.7834803528468324,0.9002057613168725,0.6836861141637048
0.2165196471531676,0.9012345679012346,0.2701493,0.7834803528468324,0.9012345679012346,0.684714920748067
0.21732157177225342,0.9012345679012346,0.26791808,0.7826784282277466,0.9012345679012346,0.6839129961289812
0.21732157177225342,0.9022633744855967,0.2663912,0.7826784282277466,0.9022633744855967,0.6849418027133433
0.22052927024859664,0.9022633744855967,0.26235837,0.7794707297514034,0.9022633744855967,0.681734104237
0.22052927024859664,0.9053497942386831,0.25650424,0.7794707297514034,0.9053497942386831,0.6848205239900864
0.22133119486768243,0.9053497942386831,0.25562248,0.7786688051323176,0.9053497942386831,0.6840185993710006
0.22133119486768243,0.9063786008230452,0.25545868,0.7786688051323176,0.9063786008230452,0.6850474059553628
0.22293504410585405,0.9063786008230452,0.25212905,0.7770649558941459,0.9063786008230452,0.6834435567171911
0.22293504410585405,0.9074074074074074,0.2518451,0.7770649558941459,0.9074074074074074,0.6844723633015534
0.22373696872493987,0.9074074074074074,0.25174147,0.7762630312750601,0.9074074074074074,0.6836704386824676
0.22373696872493987,0.9084362139917695,0.25165626,0.7762630312750601,0.9084362139917695,0.6846992452668297
0.23576583801122694,0.9084362139917695,0.2263299,0.764234161988773,0.9084362139917695,0.6726703759805426
0.23576583801122694,0.9104938271604939,0.22505635,0.764234161988773,0.9104938271604939,0.6747279891492669
0.23897353648757017,0.9104938271604939,0.21856296,0.7610264635124299,0.9104938271604939,0.6715202906729237
0.23897353648757017,0.9125514403292181,0.21619785,0.7610264635124299,0.9125514403292181,0.673577903841648
0.24057738572574178,0.9125514403292181,0.21086314,0.7594226142742582,0.9125514403292181,0.6719740546034763
0.24057738572574178,0.9156378600823045,0.20902167,0.7594226142742582,0.9156378600823045,0.6750604743565627
0.24859663191659984,0.9156378600823045,0.2021605,0.7514033680834001,0.9156378600823045,0.6670412281657047
0.24859663191659984,0.9166666666666666,0.20174813,0.7514033680834001,0.9166666666666666,0.6680700347500668
0.2518043303929431,0.9166666666666666,0.1993484,0.7481956696070569,0.9166666666666666,0.6648623362737236
0.2518043303929431,0.9176954732510288,0.19933052,0.7481956696070569,0.9176954732510288,0.6658911428580858
0.2654370489174018,0.9176954732510288,0.18574005,0.7345629510825982,0.9176954732510288,0.6522584243336271
0.2654370489174018,0.9197530864197531,0.18461023,0.7345629510825982,0.9197530864197531,0.6543160375023513
0.2678428227746592,0.9197530864197531,0.18147701,0.7321571772253408,0.9197530864197531,0.6519102636450939
0.2678428227746592,0.9207818930041153,0.18132117,0.7321571772253408,0.9207818930041153,0.6529390702294561
0.2734562951082598,0.9207818930041153,0.17508084,0.7265437048917402,0.9207818930041153,0.6473255978958554
0.2734562951082598,0.9218106995884774,0.17390668,0.7265437048917402,0.9218106995884774,0.6483544044802176
0.2814755412991179,0.9218106995884774,0.16495745,0.7185244587008821,0.9218106995884774,0.6403351582893595
0.2814755412991179,0.9228395061728395,0.1626046,0.7185244587008821,0.9228395061728395,0.6413639648737216
0.2854851643945469,0.9228395061728395,0.16021174,0.7145148356054531,0.9228395061728395,0.6373543417782925
0.2854851643945469,0.9238683127572016,0.15852302,0.7145148356054531,0.9238683127572016,0.6383831483626548
