alpha,class_weight,eta0,l1_ratio,learning_rate,penalty,mean_best_f1
0.0001,balanced,0.001,0.5,optimal,elasticnet,0.824592843884818
0.0001,balanced,0.001,0.5,invscaling,l2,0.7381286647574453
0.0001,balanced,0.001,0.5,invscaling,elasticnet,0.7386335369266165
0.0001,balanced,0.001,0.5,adaptive,l2,0.7512476554902513
0.0001,balanced,0.001,0.5,adaptive,elasticnet,0.7526939452493029
0.0001,balanced,0.01,0.15,constant,l2,0.7695802531746583
0.0001,balanced,0.01,0.15,constant,elasticnet,0.7700110316682723
0.0001,balanced,0.01,0.15,optimal,l2,0.8117980788302848
0.0001,balanced,0.01,0.15,optimal,elasticnet,0.8146271294524079
0.0001,balanced,0.01,0.15,invscaling,l2,0.7404609631697643
0.0001,balanced,0.01,0.15,invscaling,elasticnet,0.740558732988991
0.0001,balanced,0.01,0.15,adaptive,l2,0.7695802531746583
0.0001,balanced,0.01,0.15,adaptive,elasticnet,0.7700110316682723
0.0001,balanced,0.01,0.5,constant,l2,0.7695802531746583
0.0001,balanced,0.01,0.5,constant,elasticnet,0.7711454757479306
0.0001,balanced,0.01,0.5,optimal,l2,0.8117980788302848
0.0001,balanced,0.01,0.5,optimal,elasticnet,0.824592843884818
0.0001,balanced,0.01,0.5,invscaling,l2,0.7404609631697643
0.0001,balanced,0.01,0.5,invscaling,elasticnet,0.7414606776511259
0.0001,balanced,0.01,0.5,adaptive,l2,0.7695802531746583
0.0001,balanced,0.01,0.5,adaptive,elasticnet,0.7711454757479306
0.0001,balanced,0.1,0.15,constant,l2,0.8070145779516673
0.0001,balanced,0.1,0.15,constant,elasticnet,0.8087445207933163
0.0001,balanced,0.1,0.15,optimal,l2,0.8117980788302848
0.0001,balanced,0.1,0.15,optimal,elasticnet,0.8146271294524079
0.0001,balanced,0.1,0.15,invscaling,l2,0.7470579320837061
0.0001,balanced,0.1,0.15,invscaling,elasticnet,0.7475018853560966
0.0001,balanced,0.1,0.15,adaptive,l2,0.8070145779516673
0.0001,balanced,0.1,0.15,adaptive,elasticnet,0.8087445207933163
0.0001,balanced,0.1,0.5,constant,l2,0.8070145779516673
0.0001,balanced,0.1,0.5,constant,elasticnet,0.8124246612205512
0.0001,balanced,0.1,0.5,optimal,l2,0.8117980788302848
0.0001,balanced,0.1,0.5,optimal,elasticnet,0.824592843884818
0.0001,balanced,0.1,0.5,invscaling,l2,0.7470579320837061
0.0001,balanced,0.1,0.5,invscaling,elasticnet,0.7480996455018026
0.0001,balanced,0.1,0.5,adaptive,l2,0.8070145779516673
0.0001,balanced,0.1,0.5,adaptive,elasticnet,0.8124246612205512
0.001,,0.001,0.15,constant,l2,0.5654406736643377
0.001,,0.001,0.15,constant,elasticnet,0.5611637054444791
0.001,,0.001,0.15,optimal,l2,0.6537767748489837
0.001,,0.001,0.15,optimal,elasticnet,0.6646415284063664
0.001,,0.001,0.15,invscaling,l2,0.534447058006777
0.001,,0.001,0.15,invscaling,elasticnet,0.5277443823545572
0.001,,0.001,0.15,adaptive,l2,0.5654406736643377
0.001,,0.001,0.15,adaptive,elasticnet,0.5611637054444791
0.001,,0.001,0.5,constant,l2,0.5654406736643377
0.001,,0.001,0.5,constant,elasticnet,0.5473128302068238
0.001,,0.001,0.5,optimal,l2,0.6537767748489837
0.001,,0.001,0.5,optimal,elasticnet,0.6964171044222021
0.001,,0.001,0.5,invscaling,l2,0.534447058006777
0.001,,0.001,0.5,invscaling,elasticnet,0.5096717812400247
0.001,,0.001,0.5,adaptive,l2,0.5654406736643377
0.001,,0.001,0.5,adaptive,elasticnet,0.5473128302068238
0.001,,0.01,0.15,constant,l2,0.6469258102314921
0.001,,0.01,0.15,constant,elasticnet,0.6515529208878033
0.001,,0.01,0.15,optimal,l2,0.6537767748489837
0.001,,0.01,0.15,optimal,elasticnet,0.6646415284063664
0.001,,0.01,0.15,invscaling,l2,0.535633491023941
0.001,,0.01,0.15,invscaling,elasticnet,0.5292364593603576
0.001,,0.01,0.15,adaptive,l2,0.6469258102314921
0.001,,0.01,0.15,adaptive,elasticnet,0.6515529208878033
0.001,,0.01,0.5,constant,l2,0.6469258102314921
0.001,,0.01,0.5,constant,elasticnet,0.6625830289528674
0.001,,0.01,0.5,optimal,l2,0.6537767748489837
0.001,,0.01,0.5,optimal,elasticnet,0.6964171044222021
0.001,,0.01,0.5,invscaling,l2,0.535633491023941
0.001,,0.01,0.5,invscaling,elasticnet,0.5118602698876266
0.001,,0.01,0.5,adaptive,l2,0.6469258102314921
0.001,,0.01,0.5,adaptive,elasticnet,0.6625830289528674
0.001,,0.1,0.15,constant,l2,0.6555471641399633
0.001,,0.1,0.15,constant,elasticnet,0.6657963767528292
0.001,,0.1,0.15,optimal,l2,0.6537767748489837
0.001,,0.1,0.15,optimal,elasticnet,0.6646415284063664
0.001,,0.1,0.15,invscaling,l2,0.5508215073136307
0.001,,0.1,0.15,invscaling,elasticnet,0.5440073019654899
0.001,,0.1,0.15,adaptive,l2,0.6555471641399633
0.001,,0.1,0.15,adaptive,elasticnet,0.6657963767528292
0.001,,0.1,0.5,constant,l2,0.6555471641399633
0.001,,0.1,0.5,constant,elasticnet,0.69700667450102
0.001,,0.1,0.5,optimal,l2,0.6537767748489837
0.001,,0.1,0.5,optimal,elasticnet,0.6964171044222021
0.001,,0.1,0.5,invscaling,l2,0.5508215073136307
0.001,,0.1,0.5,invscaling,elasticnet,0.5291391515349775
0.001,,0.1,0.5,adaptive,l2,0.6555471641399633
0.001,,0.1,0.5,adaptive,elasticnet,0.69700667450102
0.001,balanced,0.001,0.15,constant,l2,0.7512791394201722
0.001,balanced,0.001,0.15,constant,elasticnet,0.7549028434733842
0.001,balanced,0.001,0.15,optimal,l2,0.7637748606540741
0.001,balanced,0.001,0.15,optimal,elasticnet,0.7679547791895095
0.001,balanced,0.001,0.15,invscaling,l2,0.7381286647574453
0.001,balanced,0.001,0.15,invscaling,elasticnet,0.7416162610572586
0.001,balanced,0.001,0.15,adaptive,l2,0.7512791394201722
0.001,balanced,0.001,0.15,adaptive,elasticnet,0.7549028434733842
0.001,balanced,0.001,0.5,constant,l2,0.7512791394201722
0.001,balanced,0.001,0.5,constant,elasticnet,0.7652538332673819
0.001,balanced,0.001,0.5,optimal,l2,0.7637748606540741
0.001,balanced,0.001,0.5,optimal,elasticnet,0.7809646450839899
0.001,balanced,0.001,0.5,invscaling,l2,0.7381286647574453
0.001,balanced,0.001,0.5,invscaling,elasticnet,0.7496632250040791
0.001,balanced,0.001,0.5,adaptive,l2,0.7512791394201722
0.001,balanced,0.001,0.5,adaptive,elasticnet,0.7652538332673819
0.001,balanced,0.01,0.15,constant,l2,0.7632230246885067
0.001,balanced,0.01,0.15,constant,elasticnet,0.7660532019354619
0.001,balanced,0.01,0.15,optimal,l2,0.7637748606540741
0.001,balanced,0.01,0.15,optimal,elasticnet,0.7679547791895095
0.001,balanced,0.01,0.15,invscaling,l2,0.7404609631697643
0.001,balanced,0.01,0.15,invscaling,elasticnet,0.7441058704118172
0.001,balanced,0.01,0.15,adaptive,l2,0.7632230246885067
