alpha,class_weight,eta0,l1_ratio,learning_rate,penalty,mean_best_f1
0.001,,0.01,0.5,invscaling,l2,0.47170913289602046
0.001,,0.01,0.5,invscaling,elasticnet,0.45993997746725424
0.001,,0.01,0.5,adaptive,l2,0.6005748207807189
0.001,,0.01,0.5,adaptive,elasticnet,0.6257305755592155
0.001,,0.1,0.15,constant,l2,0.6163142080286497
0.001,,0.1,0.15,constant,elasticnet,0.6301263142048393
0.001,,0.1,0.15,optimal,l2,0.6177235551892728
0.001,,0.1,0.15,optimal,elasticnet,0.6307230642227271
0.001,,0.1,0.15,invscaling,l2,0.4835788895003545
0.001,,0.1,0.15,invscaling,elasticnet,0.47904089716111137
0.001,,0.1,0.15,adaptive,l2,0.6163142080286497
0.001,,0.1,0.15,adaptive,elasticnet,0.6301263142048393
0.001,,0.1,0.5,constant,l2,0.6163142080286497
0.001,,0.1,0.5,constant,elasticnet,0.673764762671128
0.001,,0.1,0.5,optimal,l2,0.6177235551892728
0.001,,0.1,0.5,optimal,elasticnet,0.6770730319999867
0.001,,0.1,0.5,invscaling,l2,0.4835788895003545
0.001,,0.1,0.5,invscaling,elasticnet,0.4717777563558247
0.001,,0.1,0.5,adaptive,l2,0.6163142080286497
0.001,,0.1,0.5,adaptive,elasticnet,0.673764762671128
0.001,balanced,0.001,0.15,constant,l2,0.7525832706215196
0.001,balanced,0.001,0.15,constant,elasticnet,0.7565556389965163
0.001,balanced,0.001,0.15,optimal,l2,0.7803280119283906
0.001,balanced,0.001,0.15,optimal,elasticnet,0.7849847732577812
0.001,balanced,0.001,0.15,invscaling,l2,0.7350850436737305
0.001,balanced,0.001,0.15,invscaling,elasticnet,0.7392198884093653
0.001,balanced,0.001,0.15,adaptive,l2,0.7525832706215196
0.001,balanced,0.001,0.15,adaptive,elasticnet,0.7565556389965163
0.001,balanced,0.001,0.5,constant,l2,0.7525832706215196
0.001,balanced,0.001,0.5,constant,elasticnet,0.7694101291393444
0.001,balanced,0.001,0.5,optimal,l2,0.7803280119283906
0.001,balanced,0.001,0.5,optimal,elasticnet,0.7970356983939043
0.001,balanced,0.001,0.5,invscaling,l2,0.7350850436737305
0.001,balanced,0.001,0.5,invscaling,elasticnet,0.7455913529735001
0.001,balanced,0.001,0.5,adaptive,l2,0.7525832706215196
0.001,balanced,0.001,0.5,adaptive,elasticnet,0.7694101291393444
0.001,balanced,0.01,0.15,constant,l2,0.7757722296375273
0.001,balanced,0.01,0.15,constant,elasticnet,0.7795892624296943
0.001,balanced,0.01,0.15,optimal,l2,0.7803280119283906
0.001,balanced,0.01,0.15,optimal,elasticnet,0.7849847732577812
0.001,balanced,0.01,0.15,invscaling,l2,0.7356988311372176
0.001,balanced,0.01,0.15,invscaling,elasticnet,0.7398118897510604
0.001,balanced,0.01,0.15,adaptive,l2,0.7757722296375273
0.001,balanced,0.01,0.15,adaptive,elasticnet,0.7795892624296943
0.001,balanced,0.01,0.5,constant,l2,0.7757722296375273
0.001,balanced,0.01,0.5,constant,elasticnet,0.7888449459561986
0.001,balanced,0.01,0.5,optimal,l2,0.7803280119283906
0.001,balanced,0.01,0.5,optimal,elasticnet,0.7970356983939043
0.001,balanced,0.01,0.5,invscaling,l2,0.7356988311372176
0.001,balanced,0.01,0.5,invscaling,elasticnet,0.7459938209326848
0.001,balanced,0.01,0.5,adaptive,l2,0.7757722296375273
0.001,balanced,0.01,0.5,adaptive,elasticnet,0.7888449459561986
0.001,balanced,0.1,0.15,constant,l2,0.7740397948591575
0.001,balanced,0.1,0.15,constant,elasticnet,0.7806851948947974
0.001,balanced,0.1,0.15,optimal,l2,0.7803280119283906
0.001,balanced,0.1,0.15,optimal,elasticnet,0.7849847732577812
0.001,balanced,0.1,0.15,invscaling,l2,0.740964925616824
0.001,balanced,0.1,0.15,invscaling,elasticnet,0.7438742793122348
0.001,balanced,0.1,0.15,adaptive,l2,0.7740397948591575
0.001,balanced,0.1,0.15,adaptive,elasticnet,0.7806851948947974
0.001,balanced,0.1,0.5,constant,l2,0.7740397948591575
0.001,balanced,0.1,0.5,constant,elasticnet,0.7958953258921817
0.001,balanced,0.1,0.5,optimal,l2,0.7803280119283906
0.001,balanced,0.1,0.5,optimal,elasticnet,0.7970356983939043
0.001,balanced,0.1,0.5,invscaling,l2,0.740964925616824
0.001,balanced,0.1,0.5,invscaling,elasticnet,0.7512880449837143
0.001,balanced,0.1,0.5,adaptive,l2,0.7740397948591575
0.001,balanced,0.1,0.5,adaptive,elasticnet,0.7958953258921817
0.01,,0.001,0.15,constant,l2,0.41529149037912944
0.01,,0.001,0.15,constant,elasticnet,0.3959558270290335
0.01,,0.001,0.15,optimal,l2,0.36869743831650403
0.01,,0.001,0.15,optimal,elasticnet,0.36384703921532247
0.01,,0.001,0.15,invscaling,l2,0.4707946252280374
0.01,,0.001,0.15,invscaling,elasticnet,0.4336650233981135
0.01,,0.001,0.15,adaptive,l2,0.41529149037912944
0.01,,0.001,0.15,adaptive,elasticnet,0.3959558270290335
0.01,,0.001,0.5,constant,l2,0.41529149037912944
0.01,,0.001,0.5,constant,elasticnet,0.359509042436821
0.01,,0.001,0.5,optimal,l2,0.36869743831650403
0.01,,0.001,0.5,optimal,elasticnet,0.359509042436821
0.01,,0.001,0.5,invscaling,l2,0.4707946252280374
0.01,,0.001,0.5,invscaling,elasticnet,0.3596348807883911
0.01,,0.001,0.5,adaptive,l2,0.41529149037912944
0.01,,0.001,0.5,adaptive,elasticnet,0.359509042436821
0.01,,0.01,0.15,constant,l2,0.3646050455441575
0.01,,0.01,0.15,constant,elasticnet,0.36135176832020083
0.01,,0.01,0.15,optimal,l2,0.36869743831650403
0.01,,0.01,0.15,optimal,elasticnet,0.36384703921532247
0.01,,0.01,0.15,invscaling,l2,0.46691201656528564
0.01,,0.01,0.15,invscaling,elasticnet,0.4315748161773184
0.01,,0.01,0.15,adaptive,l2,0.3646050455441575
0.01,,0.01,0.15,adaptive,elasticnet,0.36135176832020083
0.01,,0.01,0.5,constant,l2,0.3646050455441575
0.01,,0.01,0.5,constant,elasticnet,0.359509042436821
0.01,,0.01,0.5,optimal,l2,0.36869743831650403
0.01,,0.01,0.5,optimal,elasticnet,0.359509042436821
0.01,,0.01,0.5,invscaling,l2,0.46691201656528564
0.01,,0.01,0.5,invscaling,elasticnet,0.359509042436821
0.01,,0.01,0.5,adaptive,l2,0.3646050455441575
0.01,,0.01,0.5,adaptive,elasticnet,0.359509042436821
0.01,,0.1,0.15,constant,l2,0.3632488816442199
0.01,,0.1,0.15,constant,elasticnet,0.36099407551623475
0.01,,0.1,0.15,optimal,l2,0.36869743831650403
0.01,,0.1,0.15,optimal,elasticnet,0.36384703921532247
0.01,,0.1,0.15,invscaling,l2,0.4385446480603326
0.01,,0.1,0.15,invscaling,elasticnet,0.4129611915543451
0.01,,0.1,0.15,adaptive,l2,0.3632488816442199
0.01,,0.1,0.15,adaptive,elasticnet,0.36099407551623475
0.01,,0.1,0.5,constant,l2,0.3632488816442199
0.01,,0.1,0.5,constant,elasticnet,0.359509042436821
0.01,,0.1,0.5,optimal,l2,0.36869743831650403
0.01,,0.1,0.5,optimal,elasticnet,0.359509042436821
0.01,,0.1,0.5,invscaling,l2,0.4385446480603326
0.01,,0.1,0.5,invscaling,elasticnet,0.359509042436821
0.01,,0.1,0.5,adaptive,l2,0.3632488816442199
0.01,,0.1,0.5,adaptive,elasticnet,0.359509042436821
0.01,balanced,0.001,0.15,constant,l2,0.7519886864529328
0.01,balanced,0.001,0.15,constant,elasticnet,0.798141093570686
0.01,balanced,0.001,0.15,optimal,l2,0.625034178759323
0.01,balanced,0.001,0.15,optimal,elasticnet,0.5851060100614394
0.01,balanced,0.001,0.15,invscaling,l2,0.7350218598764775
0.01,balanced,0.001,0.15,invscaling,elasticnet,0.7483343392181165
0.01,balanced,0.001,0.15,adaptive,l2,0.7519886864529328
0.01,balanced,0.001,0.15,adaptive,elasticnet,0.798141093570686
0.01,balanced,0.001,0.5,constant,l2,0.7519886864529328
0.01,balanced,0.001,0.5,constant,elasticnet,0.8099688709819745
0.01,balanced,0.001,0.5,optimal,l2,0.625034178759323
0.01,balanced,0.001,0.5,optimal,elasticnet,0.45930017076608315
0.01,balanced,0.001,0.5,invscaling,l2,0.7350218598764775
0.01,balanced,0.001,0.5,invscaling,elasticnet,0.619070073941057
0.01,balanced,0.001,0.5,adaptive,l2,0.7519886864529328
0.01,balanced,0.001,0.5,adaptive,elasticnet,0.8099688709819745
0.01,balanced,0.01,0.15,constant,l2,0.7610966672338216
0.01,balanced,0.01,0.15,constant,elasticnet,0.7793099476429575
0.01,balanced,0.01,0.15,optimal,l2,0.625034178759323
0.01,balanced,0.01,0.15,optimal,elasticnet,0.5851060100614394
0.01,balanced,0.01,0.15,invscaling,l2,0.7353587415272218
0.01,balanced,0.01,0.15,invscaling,elasticnet,0.7482446210391013
0.01,balanced,0.01,0.15,adaptive,l2,0.7610966672338216
0.01,balanced,0.01,0.15,adaptive,elasticnet,0.7793099476429575
0.01,balanced,0.01,0.5,constant,l2,0.7610966672338216
0.01,balanced,0.01,0.5,constant,elasticnet,0.726474812466708
0.01,balanced,0.01,0.5,optimal,l2,0.625034178759323
0.01,balanced,0.01,0.5,optimal,elasticnet,0.45930017076608315
0.01,balanced,0.01,0.5,invscaling,l2,0.7353587415272218
0.01,balanced,0.01,0.5,invscaling,elasticnet,0.618887493773595
0.01,balanced,0.01,0.5,adaptive,l2,0.7610966672338216
0.01,balanced,0.01,0.5,adaptive,elasticnet,0.726474812466708
0.01,balanced,0.1,0.15,constant,l2,0.697154547496275
0.01,balanced,0.1,0.15,constant,elasticnet,0.6962553114167749
0.01,balanced,0.1,0.15,optimal,l2,0.625034178759323
0.01,balanced,0.1,0.15,optimal,elasticnet,0.5851060100614394
